TIME(2019/11/15 14:58:56.021),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.39453,381661110379,0.35533,0.03523,0.39454,1,
0.88232,381662156573,0.18588,0.87764,0.39404,1,
1.73145,381663976592,0.15843,0.90462,0.82813,1,
1.98389,381664517212,0.27056,0.32700,0.19287,1,
2.30420,381665204331,0.24489,0.22452,0.23096,1,
2.85889,381666392484,0.22608,0.22323,0.54199,1,
3.44580,381667650500,0.23001,0.13809,0.57471,1,
3.97949,381668795256,0.30845,0.14805,0.51758,1,
4.31543,381669514563,0.32292,0.15114,0.31982,1,
5.21875,381671451289,0.22172,0.23081,0.83105,1,
5.71191,381672507884,0.23335,0.27624,0.47510,1,
6.41797,381674021775,0.23898,0.31274,0.68652,1,
6.84619,381674939219,0.29325,0.27285,0.41211,1,
7.34082,381675999536,0.33297,0.25962,0.47656,1,
7.98145,381677372840,0.37064,0.24653,0.61328,1,
8.47168,381678424232,0.23703,0.30469,0.42773,1,
8.93213,381679410993,0.26526,0.28626,0.43994,1,
9.40869,381680431979,0.30153,0.29880,0.46094,1,
9.95459,381681601970,0.32953,0.26343,0.54199,1,
10.24561,381682226613,0.29504,0.27964,0.27881,1,
10.98828,381683818433,0.24241,0.32800,0.72656,1,
11.67139,381685282024,0.30172,0.28930,0.66553,1,
12.03174,381686054930,0.30600,0.28888,0.34863,1,
12.51855,381687098460,0.22720,0.31360,0.47656,1,
12.93359,381687988005,0.23074,0.24744,0.39258,1,
13.20410,381688567268,0.21848,0.28945,0.25098,1,
13.56494,381689341605,0.21708,0.38135,0.34424,1,
13.83350,381689916552,0.22226,0.34639,0.25293,1,
14.61719,381691596417,0.23491,0.30282,0.77197,1,
15.06055,381692547268,0.22169,0.17027,0.37305,1,
15.83643,381694209534,0.22773,0.16321,0.75781,1,
16.61426,381695877154,0.29694,0.15544,0.75879,1,
16.93408,381696562680,0.35093,0.13611,0.30273,1,
17.34570,381697445248,0.38884,0.11254,0.39404,1,
18.16504,381699201336,0.41505,0.11099,0.79932,1,
19.06982,381701140330,0.23648,0.18576,0.82861,1,
19.56445,381702201276,0.27496,0.21546,0.47314,1,
19.98828,381703108913,0.29938,0.21381,0.40869,1,
20.54932,381704311808,0.33186,0.20885,0.54395,1,
21.47363,381706293178,0.36140,0.17901,0.91016,1,
22.04590,381707519276,0.23833,0.26209,0.51367,1,
22.46973,381708428668,0.27176,0.24276,0.40918,1,
22.99561,381709555154,0.31227,0.24835,0.51025,1,
23.62402,381710902476,0.34949,0.23728,0.61230,1,
24.39258,381712549310,0.34630,0.23242,0.75195,1,
25.08252,381714028317,0.37004,0.20376,0.67188,1,
25.44531,381714806238,0.22255,0.28252,0.29492,1,
26.14209,381716299715,0.26307,0.28440,0.67822,1,
27.25684,381718689591,0.31554,0.26392,1.10693,1,
28.15430,381720612702,0.36354,0.24639,0.87402,1,
28.63037,381721633391,0.22435,0.29121,0.39697,1,
29.17139,381722793367,0.24373,0.17884,0.47119,1,
30.20654,381725012414,0.28143,0.29848,0.94824,1,
30.60400,381725864129,0.32421,0.28709,0.38037,1,
31.16113,381727058278,0.37739,0.27936,0.53955,1,
31.85156,381728538408,0.41177,0.22549,0.66699,1,
32.22852,381729346273,0.39975,0.13241,0.35986,1,
32.77100,381730508336,0.23889,0.24622,0.47607,1,
33.47998,381732028106,0.27876,0.23894,0.69238,1,
33.91260,381732956088,0.31726,0.23749,0.40771,1,
34.26807,381733717163,0.31543,0.21108,0.34424,1,
35.00488,381735297385,0.24270,0.22063,0.72412,1,
35.76758,381736931715,0.26294,0.24447,0.73389,1,
36.59717,381738710099,0.30786,0.25392,0.80518,1,
37.08887,381739764142,0.35877,0.13419,0.42139,1,
37.44629,381740530615,0.38696,0.17566,0.34961,1,
37.76563,381741214266,0.40911,0.09655,0.26172,1,
38.07422,381741875974,0.30651,0.16738,0.28760,1,
38.25928,381742272942,0.25545,0.11326,0.16650,1,
40.10254,381746223299,0.24356,0.23908,0.79199,1,
40.49316,381747060758,0.30847,0.27755,0.37842,1,
40.85596,381747838189,0.35667,0.27698,0.34570,1,
41.31689,381748826496,0.36213,0.25034,0.44092,1,
41.93115,381750143339,0.27927,0.36717,0.55811,1,
42.15137,381750615728,0.28043,0.31258,0.21680,1,
42.71045,381751813321,0.26251,0.24481,0.54395,1,
43.33301,381753148472,0.23044,0.13855,0.60107,1,
44.01221,381754603814,0.21888,0.16086,0.67480,1,
44.17139,381754945463,0.24673,0.20724,0.14600,1,
44.77979,381756248937,0.29016,0.18445,0.34229,1,
45.98096,381758823729,0.32666,0.15715,1.18555,1,
47.06250,381761142456,0.36021,0.12613,1.06787,1,
47.68848,381762484088,0.39401,0.12478,0.60791,1,
48.31250,381763821536,0.24229,0.23428,0.54688,1,
49.20410,381765732328,0.28980,0.23211,0.87695,1,
49.67627,381766744805,0.30837,0.16954,0.45508,1,
50.74023,381769025148,0.35667,0.19072,1.03320,1,
51.60693,381770882823,0.37586,0.18308,0.85107,1,
52.68213,381773187433,0.39965,0.19254,1.06396,1,
53.50391,381774948729,0.40643,0.24539,0.50537,1,
54.04834,381776116598,0.44325,0.15406,0.51514,1,
54.47656,381777033525,0.44386,0.12678,0.41357,1,
54.70361,381777520450,0.37856,0.17808,0.22461,1,
62.89893,381795087361,0.45557,0.19278,0.32275,1,
63.14844,381795621695,0.40323,0.24813,0.24170,1,
63.61572,381796623962,0.30241,0.14617,0.40234,1,
63.84619,381797117550,0.23668,0.30417,0.16406,1,
64.43359,381798377144,0.37562,0.27116,0.22852,1,
64.77246,381799103453,0.37903,0.13719,0.32813,1,
65.10449,381799814403,0.45382,0.19203,0.30127,1,
65.60645,381800890648,0.26523,0.29645,0.43750,1,
66.23975,381802248302,0.21778,0.25833,0.60791,1,
66.71240,381803261235,0.22019,0.27143,0.45850,1,
67.27197,381804460995,0.23915,0.21279,0.53760,1,
74.59717,381820161639,0.27747,0.29994,0.35889,1,
75.01563,381821059090,0.34678,0.26620,0.35059,1,
75.38965,381821860349,0.33224,0.29700,0.36279,1,
75.81055,381822763060,0.27470,0.24521,0.39893,1,
76.38818,381824000601,0.26603,0.28038,0.56787,1,
76.78760,381824856756,0.29157,0.23356,0.39111,1,
77.72119,381826858411,0.29827,0.26351,0.91357,1,
78.06445,381827594342,0.22464,0.28217,0.32959,1,
78.93457,381829459586,0.25006,0.22843,0.85352,1,
79.59326,381830870582,0.25469,0.22453,0.39160,1,
79.87158,381831467679,0.25276,0.25385,0.27100,1,
80.52441,381832866749,0.25210,0.24650,0.39600,1,
81.28516,381834497735,0.23853,0.20442,0.05664,1,
91.14844,381855639011,0.93351,-2.23772,0.22412,1,
91.48779,381856366845,0.75760,-2.20643,0.17822,1,
91.86475,381857174996,0.46027,0.12452,0.32422,1,
92.19189,381857876295,0.46081,0.08513,0.32275,1,
92.43994,381858407400,0.40390,0.11279,0.22559,1,
92.59229,381858734143,0.31488,0.12950,0.13281,1,
93.80664,381861336662,0.23961,0.24017,1.05469,1,
94.16113,381862096771,0.29379,0.25936,0.34131,1,
94.80908,381863485346,0.32368,0.19377,0.64307,1,
95.21436,381864354288,0.33036,0.22359,0.39844,1,
95.62549,381865235698,0.23392,0.26298,0.38672,1,
95.92139,381865869596,0.26810,0.14126,0.25879,1,
96.21777,381866505479,0.22786,0.30640,0.22021,1,
96.49268,381867094092,0.23896,0.37332,0.25928,1,
96.94141,381868056380,0.25902,0.39685,0.44385,1,
97.40186,381869043214,0.29187,0.22593,0.38672,1,
97.68164,381869642730,0.32617,0.23446,0.26465,1,
98.03125,381870391963,0.37788,0.24707,0.33447,1,
98.50342,381871404772,0.47074,0.19212,0.45361,1,
99.34619,381873210508,0.49502,0.17895,0.83838,1,
99.98877,381874588243,0.54428,0.16728,0.63525,1,
100.40625,381875483318,0.57982,0.15749,0.40332,1,
100.77979,381876283586,0.59213,0.12830,0.33838,1,
101.04785,381876858003,0.58040,0.20281,0.26318,1,
101.47559,381877774892,0.25133,0.32764,0.33252,1,
101.88525,381878652868,0.25051,0.36858,0.39014,1,
102.47852,381879924414,0.28757,0.28587,0.35400,1,
103.07568,381881204949,0.25703,0.29441,0.55420,1,
103.26270,381881605799,0.27361,0.30236,0.16748,1,
103.83740,381882837283,0.24408,0.28906,0.35547,1,
104.46484,381884182450,0.23011,0.29273,0.62305,1,
104.87793,381885068179,0.29001,0.30886,0.39697,1,
105.40869,381886205193,0.31629,0.26127,0.51318,1,
106.03076,381887539445,0.36423,0.22190,0.60693,1,
106.53613,381888621835,0.40298,0.25482,0.48877,1,
106.73486,381889048792,0.42489,0.05388,0.18311,1,
107.70996,381891138132,0.47522,0.21710,0.77930,1,
108.37646,381892567045,0.48823,0.49583,0.60254,1,
108.74365,381893353792,0.28164,0.22005,0.25293,1,
109.44873,381894865416,0.26251,0.25308,0.44189,1,
109.97803,381896000408,0.39147,0.59241,0.28906,1,
110.68115,381897506590,0.17794,0.84647,0.67432,1,
111.16895,381898552805,0.17996,0.86393,0.47559,1,
111.50244,381899267369,0.44755,0.31954,0.23975,1,
111.82178,381899951969,0.51138,0.21072,0.28809,1,
112.60107,381901622846,0.51660,0.12936,0.76318,1,
113.26172,381903038015,0.52352,0.17550,0.62109,1,
113.65137,381903874039,0.48945,0.18756,0.38184,1,
114.12207,381904882631,0.51459,0.16327,0.45654,1,
114.57178,381905846100,0.52630,0.13580,0.43604,1,
114.92822,381906610441,0.51586,0.16442,0.35156,1,
115.19727,381907186988,0.53316,0.18300,0.26416,1,
115.61377,381908079699,0.57537,0.21876,0.39014,1,
115.85449,381908596055,0.34842,0.06818,0.20117,1,
116.13330,381909193648,0.36995,0.12307,0.07324,1,
116.60986,381910214841,0.37546,0.11762,0.45264,1,
117.27930,381911650318,0.38033,0.06448,0.66650,1,
117.62354,381912388320,0.30159,0.09136,0.32275,1,
117.74756,381912653531,0.35322,0.04879,0.10596,1,
